,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in
273,2020-03-07,1,0,12015,2020-05-06,294.0,29.0,2020-05-16,370.0,41.0,2020-05-26,430.0,56.0,51,173236,81236,39077,16049,9928
279,2020-03-08,1,0,36103,2020-05-07,35892.0,1599.0,2020-05-17,38117.0,1799.0,2020-05-27,39258.0,1910.0,281,1497595,326104,548500,172968,85628
282,2020-03-08,1,0,36111,2020-05-07,1416.0,27.0,2020-05-17,1552.0,42.0,2020-05-27,1645.0,45.0,25,180129,45203,55761,27571,12261
285,2020-03-08,1,0,41019,2020-05-07,24.0,0.0,2020-05-17,25.0,0.0,2020-05-27,25.0,0.0,32,107576,35360,35686,2827,2002
288,2020-03-08,1,0,41047,2020-05-07,613.0,21.0,2020-05-17,827.0,23.0,2020-05-27,920.0,25.0,68,330453,68700,107484,27187,33410
291,2020-03-08,1,0,34031,2020-05-07,14133.0,703.0,2020-05-17,15205.0,838.0,2020-05-27,15873.0,899.0,97,510563,98279,104794,120448,79428
294,2020-03-08,1,0,27019,2020-05-07,58.0,0.0,2020-05-17,113.0,2.0,2020-05-27,185.0,2.0,25,98799,15454,20578,30997,19578
297,2020-03-08,1,0,25027,2020-05-07,7197.0,385.0,2020-05-17,9252.0,569.0,2020-05-27,10647.0,716.0,169,818249,170081,280406,114917,63512
300,2020-03-08,1,0,53035,2020-05-07,154.0,2.0,2020-05-17,159.0,2.0,2020-05-27,161.0,2.0,20,258903,59433,95235,22252,11747
303,2020-03-08,1,0,47157,2020-05-07,3066.0,64.0,2020-05-17,3726.0,85.0,2020-05-27,4615.0,105.0,277,937847,169553,394448,24184,100530
306,2020-03-08,1,0,47037,2020-05-07,3432.0,35.0,2020-05-17,4132.0,44.0,2020-05-27,5068.0,60.0,614,678322,113356,274809,59608,160867
309,2020-03-08,1,0,45083,2020-05-07,325.0,12.0,2020-05-17,399.0,13.0,2020-05-27,529.0,19.0,39,297732,63159,97703,27260,33712
312,2020-03-08,1,0,9001,2020-05-07,12679.0,977.0,2020-05-17,14248.0,1146.0,2020-05-27,15314.0,1242.0,173,947328,197334,353280,99708,114321
315,2020-03-08,1,0,24025,2020-05-07,556.0,22.0,2020-05-17,690.0,34.0,2020-05-27,804.0,49.0,19,250132,53295,70291,56384,28274
318,2020-03-08,1,0,21111,2020-05-07,1578.0,113.0,2020-05-17,1922.0,127.0,2020-05-27,2427.0,157.0,366,764378,161771,323606,30982,113202
321,2020-03-08,1,0,21097,2020-05-07,18.0,0.0,2020-05-17,19.0,0.0,2020-05-27,19.0,0.0,6,18630,4370,3644,3541,1274
324,2020-03-08,3,0,19103,2020-05-07,543.0,6.0,2020-05-17,569.0,7.0,2020-05-27,607.0,8.0,95,144425,21650,66966,10306,19830
327,2020-03-08,1,0,18063,2020-05-07,910.0,60.0,2020-05-17,1050.0,74.0,2020-05-27,1155.0,80.0,39,158170,28822,30601,45437,27824
330,2020-03-08,1,0,13057,2020-05-07,569.0,17.0,2020-05-17,714.0,24.0,2020-05-27,861.0,31.0,15,235896,42210,46339,61677,17233
333,2020-03-09,3,0,39035,2020-05-08,2668.0,143.0,2020-05-18,3410.0,175.0,2020-05-28,4211.0,226.0,680,1257401,297844,502361,63282,197691
336,2020-03-09,1,0,34039,2020-05-08,13917.0,844.0,2020-05-18,14903.0,962.0,2020-05-28,15475.0,1047.0,80,557320,106249,119361,141927,114860
339,2020-03-09,2,0,34025,2020-05-08,6752.0,429.0,2020-05-18,7408.0,513.0,2020-05-28,8012.0,578.0,152,627551,142622,184953,115632,79987
342,2020-03-09,1,0,34017,2020-05-08,16520.0,940.0,2020-05-18,17574.0,1068.0,2020-05-28,18226.0,1161.0,105,679756,109974,146202,186657,130370
345,2020-03-09,1,0,55093,2020-05-08,12.0,0.0,2020-05-18,21.0,0.0,2020-05-28,44.0,0.0,0,41226,8070,7989,14118,3335
351,2020-03-09,1,0,42089,2020-05-08,1198.0,63.0,2020-05-18,1259.0,88.0,2020-05-28,1311.0,101.0,44,167306,37614,45602,28938,16986
354,2020-03-09,1,0,48085,2020-05-08,889.0,27.0,2020-05-18,1049.0,31.0,2020-05-28,1236.0,33.0,195,914075,135322,249848,188848,139962
357,2020-03-09,1,0,8005,2020-05-08,3148.0,177.0,2020-05-18,3767.0,253.0,2020-05-28,4201.0,301.0,127,626612,111767,149755,157731,148283
360,2020-03-09,1,0,6089,2020-05-08,31.0,4.0,2020-05-18,34.0,4.0,2020-05-28,37.0,4.0,81,178919,47900,62873,4740,5957
363,2020-03-09,1,0,8069,2020-05-08,437.0,19.0,2020-05-18,495.0,21.0,2020-05-28,567.0,27.0,55,330976,67199,131908,28664,21060
366,2020-03-09,1,0,4019,2020-05-08,1520.0,131.0,2020-05-18,1825.0,157.0,2020-05-28,2167.0,186.0,296,1007257,245814,404526,13519,12374
369,2020-03-09,1,0,24033,2020-05-08,8917.0,339.0,2020-05-18,11629.0,436.0,2020-05-28,15042.0,530.0,89,905161,159437,178243,280538,157790
372,2020-03-09,1,0,22051,2020-05-08,6610.0,392.0,2020-05-18,7059.0,430.0,2020-05-28,7424.0,441.0,215,437038,96599,130310,75933,68478
375,2020-03-09,1,0,19155,2020-05-08,76.0,2.0,2020-05-18,170.0,2.0,2020-05-28,234.0,8.0,29,93287,21265,24991,20897,14359
378,2020-03-09,1,0,18113,2020-05-08,128.0,15.0,2020-05-18,153.0,21.0,2020-05-28,206.0,22.0,0,47421,9969,12379,9147,7064
381,2020-03-09,2,0,13089,2020-05-08,2445.0,69.0,2020-05-18,2856.0,86.0,2020-05-28,3635.0,112.0,168,736066,121505,150749,186634,153183
384,2020-03-09,1,0,13113,2020-05-08,190.0,12.0,2020-05-18,210.0,11.0,2020-05-28,231.0,13.0,37,110306,25277,22248,26597,22858
387,2020-03-09,1,0,13115,2020-05-08,155.0,12.0,2020-05-18,187.0,13.0,2020-05-28,258.0,15.0,65,96471,20941,31895,7241,11865
390,2020-03-10,1,0,41051,2020-05-09,863.0,53.0,2020-05-19,1005.0,55.0,2020-05-29,1121.0,59.0,165,788459,143926,301648,84388,183411
393,2020-03-10,1,0,42101,2020-05-09,17881.0,891.0,2020-05-19,20129.0,1109.0,2020-05-29,22405.0,1300.0,528,1569657,287348,473736,152389,257222
396,2020-03-10,1,0,26163,2020-05-09,17960.0,2082.0,2020-05-19,19292.0,2275.0,2020-05-29,20227.0,2425.0,586,1763822,362535,503375,177211,236937
399,2020-03-10,1,0,27003,2020-05-09,518.0,29.0,2020-05-19,919.0,42.0,2020-05-29,1324.0,67.0,35,344861,63313,70006,108166,49427
402,2020-03-10,2,0,34005,2020-05-09,3531.0,194.0,2020-05-19,4000.0,247.0,2020-05-29,4519.0,286.0,82,449192,98530,121868,98526,81719
