,cases_70days,icu_beds,commuting_in,commuting_out,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
518,429,27,18021,19931,132.2662889,0.669587074351,13.3,55515,34.1,24.5,69665,434061
519,303,34,19252,8279,360.24224386,0.2610170608,14.2,13991,36.0,15.7,47074,104628
520,81,24,878,1381,50.022473825,0.636059508209,15.6,38213,42.3,29.5,56383,201513
521,359,14,12475,41851,209.51068713,0.489882592443,9.0,39118,44.9,31.4,65984,207641
522,22,6,3776,9317,27.913480483,0.39145815913,16.7,11733,46.6,19.0,44243,57975
523,128,16,14662,11493,140.98712851,0.443885513417,11.2,22931,44.3,27.1,52154,122302
524,400,13,2639,4859,68.987873431,0.305552572226,24.6,7971,39.5,11.7,36850,46194
525,71,0,7920,9420,76.400468118,0.440214357486,8.7,5090,36.3,32.6,66209,34274
526,126,0,1441,1799,27.631827385999998,0.261056452383,13.7,4481,45.3,20.1,50821,19683
527,100,4,3056,1755,47.898433306,0.283821534041,11.4,4925,44.7,24.2,51292,24668
528,438,51,12521,16641,225.83595663,0.370793623413,13.7,26583,41.2,21.4,52047,158510
529,112,7,1799,7478,59.19997401,0.17898089172000006,8.6,3898,42.0,19.8,62251,22758
530,3349,188,52847,63846,973.34320163,0.5837590575639999,15.7,76230,38.7,22.1,55280,485493
531,21,4,4278,3253,85.041109855,0.07656020909030001,23.9,2484,23.4,36.4,41827,39907
532,14,0,792,1422,38.392804494,0.263955544329,14.5,2023,48.9,15.9,48395,8210
533,3462,124,80483,24975,966.32950896,0.523149562985,16.7,58998,33.7,34.7,52945,440059
534,7,0,886,1623,12.563443789,0.299813780261,9.7,1566,45.4,15.4,54282,7152
535,1696,24,14234,4792,231.94683615,0.506255832714,16.3,20627,34.9,28.6,52320,131228
536,63,10,9446,16065,268.25026837,0.6238518794969999,17.0,13497,29.5,50.4,57120,122259
537,1607,10,2097,1181,30.610846984000002,0.27367003367,11.6,3614,31.9,17.6,56052,33619
538,164,57,27681,10636,1219.6196066,0.4618391164,15.3,37427,38.7,39.3,53419,234473
539,59,0,4091,8936,16.285476694,0.197915996655,8.1,4727,37.7,26.3,68043,31364
540,231,38,10509,19874,337.84492931,0.380174438108,14.9,25265,41.1,18.6,50089,134083
541,19,6,5477,9223,126.45126569,0.235066877129,10.4,9580,40.3,21.1,54362,53484
542,150,68,8592,9738,144.59422488,0.33820634189300003,10.5,22698,44.5,36.9,59471,100880
543,252,24,14929,8443,73.734692899,0.412289611143,10.8,13493,46.4,30.0,56694,63944
544,228,0,5325,15270,73.63618891600001,0.367751439668,11.4,11288,44.0,20.4,55913,61204
545,250,74,19538,37647,631.14399141,0.32656632093800003,14.2,33757,40.1,20.6,52798,224529
546,1143,142,83688,35632,831.63473721,0.586896587289,15.4,75740,37.1,35.3,52166,537174
547,214,0,3987,13955,141.58061619,0.53835378495,18.0,4819,32.5,18.4,47892,55234
548,61,10,8883,20241,291.06950124,0.249334583893,10.3,13761,43.2,21.4,62963,86111
549,302,6,38442,55997,472.01280004,0.395440604989,4.1,25025,38.6,54.4,103536,209177
550,236,8,9540,24117,198.59524445,0.298633798634,8.0,19596,43.6,22.4,62877,103009
551,55,12,7980,11024,118.54863142,0.290974847937,11.1,9536,39.6,13.6,55202,58266
552,351,10,13301,20185,263.18253318,0.249324810072,7.9,18836,41.6,22.6,59922,106987
553,57,10,6910,11703,152.5541781,0.392229121931,6.9,12642,47.1,32.4,64777,61303
554,327,18,29199,25542,162.28312683,0.490327144983,7.0,25707,42.8,35.6,74351,151391
555,2087,64,27658,22893,474.64082520000005,0.515160112731,12.8,45459,41.5,27.4,60826,263670
556,755,39,41422,97716,717.24099366,0.341957666919,5.7,55482,38.2,37.8,82048,402022
557,47,19,1591,736,13.616300202,0.183616179661,10.1,6471,40.3,22.1,56803,34914
558,264,10,2459,2636,55.679831279,0.24840570908000004,11.8,5438,37.4,24.9,55167,31363
560,5,0,360,716,2.5713611478,0.279761904762,9.1,1319,54.0,19.3,59020,4416
561,72,10,6495,2805,86.571938376,0.358666783411,12.3,14619,32.4,22.3,52798,109834
562,118,0,6552,13541,99.585045201,0.334087938016,12.5,10713,40.8,25.4,61027,62914
563,44,0,4122,4445,20.55884778,0.448305590556,11.7,8322,47.0,27.6,54376,36885
564,125,7,4495,6876,52.828329489,0.328106884558,15.1,9540,44.7,18.3,50312,47207
566,899,44,19564,16593,120.22256331,0.327317409339,9.8,27443,35.7,30.0,69212,204390
567,27,0,1020,2572,38.069761966,0.599198931909,12.3,1602,50.3,13.3,56872,6963
568,51,52,15522,6130,261.23077678,0.516078681214,10.9,18109,35.8,34.3,60619,118016
569,212,12,20013,36572,315.88521545,0.273509430003,4.5,22636,42.9,30.7,75799,136034
570,13,29,4743,5437,140.24667584,0.204590078101,22.7,12584,42.7,20.0,37860,58758
571,2285,60,32169,12945,499.04876688,0.418503964799,8.6,36047,37.2,29.6,62097,264542
572,89,14,3982,4975,110.14476045,0.186878118119,12.9,10808,25.1,37.8,60315,128289
573,26,0,4528,7234,9.754606799,0.109620497945,7.3,6615,32.5,23.3,62689,56046
574,208,0,1449,3775,41.025462569,0.63748458693,28.1,3055,41.9,12.3,33199,16828
575,1511,51,21872,19131,457.0334112,0.502170527545,14.2,40774,42.3,27.7,52872,209674
576,956,60,33481,68027,496.54394588,0.3319074786,8.8,73958,41.0,24.2,65238,449058
577,114,0,3553,12779,134.42534173,0.245023067686,10.3,5654,40.4,19.6,63241,40667
578,11,3,1252,3134,20.783549883,0.135526468203,13.5,4549,43.5,16.7,51128,20154
579,113,54,12429,6309,247.43116597,0.34561369880500004,18.9,34440,33.2,23.7,48858,256623
580,68,0,3025,10597,38.920780674,0.269040553907,12.3,7944,39.3,19.8,59304,51584
581,44,0,4808,9462,58.87860041,0.20717068548,16.4,8610,38.5,14.5,49788,54406
582,521,56,3967,3746,82.300711375,0.7437881372319999,25.7,24386,28.6,18.4,44919,276652
583,84,24,7718,3347,210.69366196,0.230844301427,17.8,18676,34.3,23.0,47477,132230
584,588,90,48408,110830,528.06043458,0.420159182941,6.4,60686,36.1,41.1,87817,590551
585,100,6,4218,668,5.870628355700001,0.600607752957,6.3,3135,39.3,57.4,99087,23464
586,426,8,6848,16455,150.76809409,0.245322091561,10.6,9753,39.1,18.6,66006,71813
587,843,38,14095,38720,361.28118154,0.255388294879,8.9,27276,39.6,26.9,66171,191283
588,3952,71,30293,48839,491.78051037,0.427256812214,11.4,69086,39.9,24.5,62519,421164
589,49,0,915,2350,18.499476747,0.224594992636,22.0,2072,40.9,11.0,39687,11973
590,376,60,26408,7476,440.22546489,0.605140694422,20.7,35700,30.7,45.7,51046,293582
591,19,0,524,288,4.2374414873,0.15030017152699998,12.1,1829,38.4,22.1,53253,10019
592,1061,24,29896,44932,439.84321801,0.512499717201,6.7,31052,45.4,41.5,88709,162436
593,1374,29,13367,22059,308.47687444,0.449099699675,13.8,28461,37.6,23.6,54980,180786
594,362,36,16117,14949,419.80001952,0.377105055491,12.1,18488,35.3,27.3,60728,157863
595,253,0,11645,7500,237.68129645,0.295254993542,9.3,67271,67.0,31.1,55324,132420
596,109,28,8433,7835,71.377063157,0.204445901249,11.4,12784,43.7,28.4,60973,74071
597,237,0,12213,43364,540.25162678,0.29386197227,7.1,18706,36.6,35.1,82184,156714
598,18,0,822,1064,16.577959308,0.364113906552,21.7,2014,40.2,15.2,37729,10763
599,100,25,8345,17665,194.46828522,0.313281856613,15.4,14488,32.5,30.0,53882,126007
600,326,61,19746,18631,253.92016704,0.413240694535,15.2,25435,31.8,32.8,50893,239187
601,152,24,10880,9682,187.50731202,0.278558763931,19.5,19386,39.7,18.0,45400,113605
602,1066,41,4615,5099,7.7068092455,0.563288744463,15.9,16259,30.6,35.6,60187,143476
603,96,14,10718,10987,108.54834994,0.364501174062,19.3,13757,41.1,14.3,41630,79978
605,25,14,3018,2513,24.740481573,0.603847835592,17.5,17845,42.8,24.7,51386,86749
606,317,6,7367,14388,100.37204203,0.6415089372680001,10.6,14365,46.1,37.2,58992,70180
607,99,51,9512,6888,44.78633268300001,0.409233684001,14.7,26437,42.1,27.1,47840,152148
608,149,8,2160,2052,34.937106621,0.6554438469330001,29.4,4739,35.2,23.8,33116,30628
609,113,10,2342,1819,40.04425448,0.7156642728899999,35.9,3358,34.2,17.1,29380,22124
610,411,4,7207,10875,135.06823581,0.448117453518,9.6,9708,36.5,27.5,67024,66972
611,493,44,19275,46954,388.28481855,0.310705694917,9.0,21739,36.7,24.1,68126,184945
612,687,7,27992,22854,148.73165309,0.407520866631,9.4,12925,37.0,47.7,75740,106272
613,478,25,20836,27885,317.30135426,0.367701158422,11.2,17343,38.9,20.9,56774,118302
614,107,20,1464,3467,107.44071773,0.236306400839,14.5,4477,42.6,11.6,47737,23102
615,130,0,2438,6329,73.646318083,0.212685560054,14.8,4345,39.7,11.1,51560,27735
616,591,21,10142,20457,286.70778078,0.346533730898,17.0,22817,40.3,18.0,49522,129569
617,57,26,9225,9378,158.48353042,0.271752275476,14.4,12186,40.9,22.6,46187,66597
618,18,0,3262,2919,24.684183229000002,0.196041214751,7.4,2731,43.4,20.6,66937,13887
619,404,30,5078,4419,45.208745418999996,0.214592543818,13.6,12453,34.7,20.6,51594,86878
620,242,21,9182,5598,97.246239961,0.474070749521,25.7,8355,31.6,36.0,41445,56750
621,1124,56,8197,11766,162.39877206,0.406134547642,16.2,17609,37.6,21.0,53884,109862
622,769,0,14718,43054,402.79407915,0.460336514809,4.2,11902,34.9,35.4,93345,128990
623,140,13,10603,14773,95.72946505899999,0.3978987347,13.6,19959,41.8,17.9,54063,108669
624,551,58,29580,46894,367.52447012,0.393551312724,13.8,43747,40.1,25.8,60121,262966
625,25,10,14830,4304,245.33658255,0.449538590604,12.9,8442,40.5,29.8,53134,50991
626,543,54,33085,47335,1041.8475561,0.336735971073,10.4,22334,37.0,30.4,64644,166998
627,950,52,14638,7024,245.32233319,0.350421348315,16.5,15710,32.8,30.6,53478,132896
628,185,0,2427,4850,38.615577756,0.363821138211,8.8,4126,40.8,21.5,65849,21965
