fips,county_name,total_population,pop_under18,pop_over65,median_age
39133,"Portage County, Ohio",162644,30986,25025,37.9
39135,"Preble County, Ohio",41207,9425,7500,42.6
39137,"Putnam County, Ohio",33969,8674,5590,40
39139,"Richland County, Ohio",121324,26365,22951,41.3
39141,"Ross County, Ohio",77051,16628,12121,40.9
39143,"Sandusky County, Ohio",59299,13583,10577,41.8
39145,"Scioto County, Ohio",76377,16706,13232,39.9
39147,"Seneca County, Ohio",55475,12284,9434,39.4
39149,"Shelby County, Ohio",48797,12358,7570,39.4
39151,"Stark County, Ohio",373475,81165,69336,41.9
39153,"Summit County, Ohio",541810,115333,92166,40.9
39155,"Trumbull County, Ohio",201794,41904,41230,44.2
39157,"Tuscarawas County, Ohio",92526,21298,17458,41
39159,"Union County, Ohio",55654,13872,6508,38.4
39161,"Van Wert County, Ohio",28281,6640,5125,40.9
39163,"Vinton County, Ohio",13111,2942,2153,42.2
39165,"Warren County, Ohio",226564,57412,30752,39.3
39167,"Washington County, Ohio",60671,11993,12162,44.1
39169,"Wayne County, Ohio",116208,28449,19566,38.5
39171,"Williams County, Ohio",36936,8468,6651,41.2
39173,"Wood County, Ohio",129936,26672,18822,34.8
39175,"Wyandot County, Ohio",22107,5084,4059,42.1
40001,"Adair County, Oklahoma",22113,5839,3378,37.6
40003,"Alfalfa County, Oklahoma",5857,1171,1098,42.9
40005,"Atoka County, Oklahoma",13874,3138,2590,40.6
40007,"Beaver County, Oklahoma",5415,1359,1021,40.3
40009,"Beckham County, Oklahoma",22621,5754,2974,35.7
40011,"Blaine County, Oklahoma",9634,2024,1738,42.4
40013,"Bryan County, Oklahoma",45759,10747,7999,37.5
40015,"Caddo County, Oklahoma",29342,7416,4806,37.3
40017,"Canadian County, Oklahoma",136710,35938,17179,35.9
40019,"Carter County, Oklahoma",48406,12273,7814,38.2
40021,"Cherokee County, Oklahoma",48599,10992,7772,35.1
40023,"Choctaw County, Oklahoma",14886,3616,2968,42
40025,"Cimarron County, Oklahoma",2189,538,535,43
40027,"Cleveland County, Oklahoma",276733,60795,34733,33.9
40029,"Coal County, Oklahoma",5618,1396,1135,41.6
40031,"Comanche County, Oklahoma",122561,29261,14592,33
40033,"Cotton County, Oklahoma",5929,1361,1147,42.9
40035,"Craig County, Oklahoma",14493,3212,2818,42.3
40037,"Creek County, Oklahoma",71160,17196,12111,40.2
40039,"Custer County, Oklahoma",29209,7344,3931,31
40041,"Delaware County, Oklahoma",42112,8719,10180,46.7
40043,"Dewey County, Oklahoma",4918,1331,916,40.2
40045,"Ellis County, Oklahoma",4072,952,868,44.1
40047,"Garfield County, Oklahoma",62190,16146,9782,36
40049,"Garvin County, Oklahoma",27823,7004,4859,39.2
40051,"Grady County, Oklahoma",54733,13325,8496,38.9
40053,"Grant County, Oklahoma",4418,1062,916,43.3
40055,"Greer County, Oklahoma",5943,1151,1049,41.2
40057,"Harmon County, Oklahoma",2721,655,506,41
40059,"Harper County, Oklahoma",3847,1019,674,38
