,date_0days,cases_0days,deaths_0days,date_70days,cases_70days,deaths_70days,fips,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty
93,2020-03-08,1,0,2020-05-17,1552,42,36111,25,180129,45203,55761,27571,12261,157.94992078,177573,0.518707703477,0.427334249488,14.3
94,2020-03-08,1,0,2020-05-17,827,23,41047,68,330453,68700,107484,27187,33410,294.62141393,347818,0.440444388289,0.4903794086860001,14.5
95,2020-03-08,1,0,2020-05-17,25,0,41019,32,107576,35360,35686,2827,2002,22.038774258000004,110980,0.270516066212,0.664303797468,15.0
96,2020-03-08,1,0,2020-05-17,38117,1799,36103,281,1497595,326104,548500,172968,85628,1619.4232899,1476601,0.442614907626,0.524840184108,7.3
97,2020-03-08,1,0,2020-05-17,15205,838,34031,97,510563,98279,104794,120448,79428,2697.8238848,501826,0.595497596497,0.378045362482,13.6
98,2020-03-08,1,0,2020-05-17,113,2,27019,25,98799,15454,20578,30997,19578,296.69689409,105089,0.390330659504,0.527331131356,3.8
99,2020-03-08,1,0,2020-05-17,9252,569,25027,169,818249,170081,280406,114917,63512,549.84556659,830622,0.5174291024009999,0.412466008001,9.0
100,2020-03-08,1,0,2020-05-17,159,2,53035,20,258903,59433,95235,22252,11747,687.05358709,271473,0.510524762908,0.394200210748,9.1
101,2020-03-08,1,0,2020-05-17,3726,85,47157,277,937847,169553,394448,24184,100530,1227.3643539999996,937166,0.622670334869,0.346373933665,21.7
102,2020-03-08,1,0,2020-05-17,4132,44,47037,614,678322,113356,274809,59608,160867,1378.7692334,694144,0.603060938509,0.34266995398,15.4
103,2020-03-08,1,0,2020-05-17,399,13,45083,39,297732,63159,97703,27260,33712,395.89874684,319785,0.330217810635,0.630011672862,13.6
104,2020-03-08,1,0,2020-05-17,14248,1146,9001,173,947328,197334,353280,99708,114321,1509.4086275,943332,0.5818552740940001,0.378905574012,10.0
105,2020-03-08,1,0,2020-05-17,690,34,24025,19,250132,53295,70291,56384,28274,584.36625333,255441,0.352613021638,0.597799137043,7.0
106,2020-03-08,1,0,2020-05-17,1922,127,21111,366,764378,161771,323606,30982,113202,2014.0227305,766757,0.540918084461,0.407502735431,15.4
107,2020-03-08,1,0,2020-05-17,19,0,21097,6,18630,4370,3644,3541,1274,61.635932237,18886,0.261255466941,0.6991252894259999,15.5
108,2020-03-08,3,0,2020-05-17,569,7,19103,95,144425,21650,66966,10306,19830,246.56142631,151140,0.6602853101,0.277549347542,15.8
109,2020-03-08,1,0,2020-05-17,1050,74,18063,39,158170,28822,30601,45437,27824,418.56402865,170311,0.300233862181,0.642137712934,5.9
110,2020-03-08,1,0,2020-05-17,714,24,13057,15,235896,42210,46339,61677,17233,614.54094882,258773,0.227412587413,0.727371982856,7.4
111,2020-03-09,3,0,2020-05-18,3410,175,39035,680,1257401,297844,502361,63282,197691,2701.4936537,1235072,0.658357766233,0.308444353,17.9
112,2020-03-09,2,0,2020-05-18,7408,513,34025,152,627551,142622,184953,115632,79987,1321.6980276,618795,0.43607171064,0.530718454831,6.7
113,2020-03-09,1,0,2020-05-18,17574,1068,34017,105,679756,109974,146202,186657,130370,14555.938983000002,672391,0.744594762318,0.226461462083,14.3
114,2020-03-09,1,0,2020-05-18,14903,962,34039,80,557320,106249,119361,141927,114860,5413.6512622,556341,0.662816509789,0.308052054607,7.8
115,2020-03-09,1,0,2020-05-18,21,0,55093,0,41226,8070,7989,14118,3335,74.481945647,42754,0.3973635544600001,0.533927640002,8.5
117,2020-03-09,1,0,2020-05-18,1259,88,42089,44,167306,37614,45602,28938,16986,279.9324603,170271,0.48419871406,0.4808018925150001,12.3
118,2020-03-09,1,0,2020-05-18,1049,31,48085,195,914075,135322,249848,188848,139962,1229.7687086,1034730,0.392200143039,0.562046866454,6.4
119,2020-03-09,1,0,2020-05-18,3767,253,8005,127,626612,111767,149755,157731,148283,822.83599885,656590,0.526755852843,0.389259314488,8.1
120,2020-03-09,1,0,2020-05-18,34,4,6089,81,178919,47900,62873,4740,5957,47.697443513,180080,0.282148468727,0.655883893376,15.2
121,2020-03-09,1,0,2020-05-18,1825,157,4019,296,1007257,245814,404526,13519,12374,113.97478676,1047279,0.542321530538,0.407523519661,16.2
122,2020-03-09,1,0,2020-05-18,495,21,8069,55,330976,67199,131908,28664,21060,137.49229240000003,356899,0.475355472235,0.426123147857,10.5
123,2020-03-09,1,0,2020-05-18,11629,436,24033,89,905161,159437,178243,280538,157790,1884.0230157,909327,0.893292622141,0.0834256645713,8.3
124,2020-03-09,1,0,2020-05-18,7059,430,22051,215,437038,96599,130310,75933,68478,1462.6262651,432493,0.405429245595,0.5529141949849999,15.6
125,2020-03-09,1,0,2020-05-18,170,2,19155,29,93287,21265,24991,20897,14359,98.058840781,93206,0.363306967271,0.5788140008529999,11.8
126,2020-03-09,1,0,2020-05-18,153,21,18113,0,47421,9969,12379,9147,7064,116.20954268,47744,0.231142687981,0.722202486679,9.1
127,2020-03-09,2,0,2020-05-18,2856,86,13089,168,736066,121505,150749,186634,153183,2836.041489,759297,0.8082272341660001,0.160647714714,14.3
128,2020-03-09,1,0,2020-05-18,210,11,13113,37,110306,25277,22248,26597,22858,588.65191144,114421,0.385099441933,0.580157981022,5.0
129,2020-03-09,1,0,2020-05-18,187,13,13115,65,96471,20941,31895,7241,11865,193.20052674,98498,0.266481751825,0.70204379562,20.7
130,2020-03-10,1,0,2020-05-19,1005,55,41051,165,788459,143926,301648,84388,183411,1885.5092324,812855,0.7595943672050001,0.17624845567699998,12.0
131,2020-03-10,1,0,2020-05-19,8078,928,26125,409,1241860,273867,411569,182537,260568,1450.2364112,1257584,0.5171103120220001,0.435921327393,8.2
132,2020-03-10,1,0,2020-05-19,20129,1109,42101,528,1569657,287348,473736,152389,257222,11796.782748,1584064,0.8240513828470001,0.154974736375,24.3
133,2020-03-10,1,0,2020-05-19,19292,2275,26163,586,1763822,362535,503375,177211,236937,2859.4342735,1749343,0.667795473596,0.295193758463,21.7
134,2020-03-10,1,0,2020-05-19,919,42,27003,35,344861,63313,70006,108166,49427,845.85743528,356921,0.410133417353,0.507056561135,5.6
135,2020-03-10,2,0,2020-05-19,4000,247,34005,82,449192,98530,121868,98526,81719,557.17907045,445349,0.555731634767,0.407917410302,6.2
136,2020-03-10,2,0,2020-05-19,1527,48,51107,33,374558,46809,88973,94986,66466,801.79464032,413538,0.554234044324,0.386281308074,3.6
137,2020-03-10,1,0,2020-05-19,426,15,53057,18,121725,31915,40913,10286,12078,74.675423726,129205,0.475570389014,0.443727088691,9.7
138,2020-03-10,1,0,2020-05-19,359,36,53073,24,212738,47353,88867,8039,4827,108.75731788,229247,0.5488851722829999,0.3718895244080001,14.9
139,2020-03-10,1,0,2020-05-19,224,3,49057,64,244101,38967,75108,33475,26163,451.5456437,260213,0.272396901204,0.472026126137,9.4
140,2020-03-10,1,0,2020-05-19,43,2,46005,6,18163,4501,8162,939,982,14.660260714000001,18453,0.282339043119,0.657855877141,12.9
141,2020-03-10,1,0,2020-05-19,10,0,46023,0,9319,2183,3510,276,595,8.4666060845,9292,0.27235653947,0.693853772211,20.9
142,2020-03-10,2,1,2020-05-19,9,1,46035,8,19753,4889,9061,1083,2388,45.393685401999996,19775,0.296151911469,0.648516096579,12.0
143,2020-03-10,1,0,2020-05-19,3165,40,46099,54,183660,32585,87284,9996,27019,239.37250132,193134,0.3911171307,0.537201487293,9.6
144,2020-03-10,1,0,2020-05-19,57,2,47163,103,156519,44012,45185,19625,28710,383.02309985,158348,0.198964249916,0.761393250919,16.5
145,2020-03-10,2,0,2020-05-19,7904,191,48113,614,2552213,377154,972140,200152,520617,3021.082591300001,2635516,0.611264385885,0.348851460536,14.2
146,2020-03-10,1,0,2020-05-19,848,18,48339,97,535187,96577,127445,99131,50804,582.74698473,607391,0.225247805085,0.7395399910379999,9.3
147,2020-03-10,1,0,2020-05-19,4643,130,48439,409,1983675,306980,707436,204110,196723,2434.4302532,2102515,0.434500748304,0.521524307819,12.1
148,2020-03-10,1,0,2020-05-19,850,28,6111,139,847834,167777,302890,87247,43603,459.16825553,846006,0.553749663019,0.385746440995,9.1
149,2020-03-10,1,0,2020-05-19,179,6,8051,0,16215,2905,8517,337,1083,5.390934306799999,17462,0.54500483923,0.349499946231,10.4
150,2020-03-10,1,0,2020-05-19,339,7,12001,210,259865,47766,106996,7691,23134,307.28851819,269043,0.589625040093,0.364430049989,19.8
151,2020-03-10,1,0,2020-05-19,709,33,6077,121,724153,123774,196956,74539,45166,547.38885704,762148,0.53880957953,0.409944373436,14.3
152,2020-03-10,3,0,2020-05-19,1030,40,12021,73,356774,132129,123480,14503,23366,192.74608394,384902,0.35741473857100003,0.617559602358,10.6
153,2020-03-10,1,0,2020-05-19,280,37,18011,8,63013,11259,12310,17626,11381,160.41872841,67843,0.317550918561,0.6130189326600001,5.4
154,2020-03-10,5,0,2020-05-19,6869,494,22071,111,388182,74618,124891,42962,93799,2302.6374138,390144,0.8080775756399999,0.146523043854,23.8
155,2020-03-10,1,0,2020-05-19,12748,797,25009,98,775860,173485,239294,137692,81347,1602.0491904,789034,0.58496038709,0.35998564364299995,10.7
156,2020-03-10,1,0,2020-05-19,10,1,18001,4,35018,7140,10067,4624,4048,105.55976829,35777,0.214893780198,0.7394738860340001,11.6
157,2020-03-10,1,0,2020-05-19,1224,64,17111,33,308043,58774,77236,77129,29243,510.07020571,307774,0.426893574512,0.507452995112,5.9
158,2020-03-10,1,0,2020-05-19,66,1,12089,0,78435,21894,16062,15098,3967,136.62350377,88625,0.23312632958700005,0.7353503663750001,10.4
159,2020-03-10,1,0,2020-05-19,4682,120,17089,103,529402,93411,134506,115998,84946,1025.1137169,532403,0.513638242894,0.424222222222,8.6
160,2020-03-10,1,0,2020-05-19,327,12,12101,166,498136,142985,99664,85479,26165,741.97917716,553947,0.37372411903,0.589430016527,12.6
161,2020-03-10,2,0,2020-05-19,1062,71,12103,279,949842,293786,359649,57420,69317,3561.2781285,974996,0.4747049967450001,0.485729980469,11.7
162,2020-03-10,1,0,2020-05-19,29,1,13049,0,12963,2473,2217,2394,506,17.167318689000002,13392,0.250499001996,0.736027944112,25.6
163,2020-03-11,1,0,2020-05-20,116,0,41017,36,175321,45371,68435,4390,4425,65.512630726,197692,0.444029850746,0.482060849598,9.4
