,date_0days,cases_0days,deaths_0days,fips,date_60days,cases_60days,deaths_60days,date_70days,cases_70days,deaths_70days,date_80days,cases_80days,deaths_80days,icu_beds,kaiser_total_population,kaiser_60plus_population,commuting_within,commuting_out,commuting_in,density,pop_2019,percent_democrat,percent_gop,percent_in_poverty,pop_under18,pop_over65,pop_2018,median_age
135,2020-03-05,1,0,8059,2020-05-04,1431.0,85.0,2020-05-14,1748.0,107.0,2020-05-24,2040.0,144.0,94,564029,124374,140839,149058,96322,762.59696552,582881,0.490697156002,0.420745713649,7.0,115926,88707,570427,40.4
138,2020-03-05,1,0,8035,2020-05-04,531.0,23.0,2020-05-14,621.0,31.0,2020-05-24,675.0,44.0,54,320940,50139,67951,89579,47964,417.91548841,351154,0.366530357865,0.547666167354,2.6,89484,35801,328614,38.4
141,2020-03-06,1,0,42127,2020-05-05,109.0,5.0,2020-05-15,107.0,7.0,2020-05-25,118.0,7.0,8,51656,15447,11696,8969,5510,70.784131107,51361,0.28607198748,0.6827185334229999,13.0,8784,11809,51536,48.1
144,2020-03-06,1,0,37037,2020-05-05,403.0,11.0,2020-05-15,495.0,24.0,2020-05-25,588.0,26.0,4,68364,20511,11803,17017,5570,109.23828497,74470,0.536156601842,0.4353121801430001,9.3,14350,16306,69791,46.7
147,2020-03-06,1,0,42045,2020-05-05,4326.0,320.0,2020-05-15,5409.0,466.0,2020-05-25,6234.0,524.0,100,563384,123831,138021,124591,75980,3083.2498462,566747,0.5939255420740001,0.37411175710600003,8.8,124912,88412,563527,39.0
150,2020-03-06,1,0,40143,2020-05-05,645.0,36.0,2020-05-15,752.0,37.0,2020-05-25,926.0,44.0,379,637123,120771,274047,23216,85413,1142.9119618,651552,0.355548615533,0.583982608484,14.1,163587,87684,642781,35.5
153,2020-03-06,2,0,36087,2020-05-05,12144.0,383.0,2020-05-15,12637.0,434.0,2020-05-25,12996.0,454.0,39,325027,66379,84101,58448,31002,1878.3505415999998,325789,0.511961143429,0.461082917147,13.9,90065,49645,323686,36.1
156,2020-03-06,1,0,34007,2020-05-05,4251.0,180.0,2020-05-15,5255.0,262.0,2020-05-25,6103.0,308.0,199,510996,104370,120977,114556,75864,2288.1000494000004,506471,0.645876146019,0.32217821871999996,12.9,116637,75995,507367,38.7
159,2020-03-06,1,0,45019,2020-05-05,463.0,8.0,2020-05-15,501.0,10.0,2020-05-25,561.0,11.0,221,387847,82073,160740,21435,81036,448.18214778,411406,0.506386124538,0.427824850725,14.2,78615,60929,394708,37.6
162,2020-03-06,1,0,53053,2020-05-05,1558.0,54.0,2020-05-15,1772.0,66.0,2020-05-25,1880.0,74.0,189,845193,157501,263500,109312,63098,542.53805418,904980,0.496931108025,0.421727755183,8.7,203938,113665,859840,36.1
