,cases_70days,icu_beds,commuting_in,density,percent_democrat,percent_in_poverty,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019
262,11,11,1423,48.629261015,0.530021089195,16.7,6376,39.8,26.4,47302,34915
263,8285,106,25626,966.33708117,0.315283213658,9.7,131798,42.9,29.2,68483,607186
264,134,50,30685,241.38631598,0.355211717984,9.0,40748,44.5,29.5,63119,206865
265,231,0,4288,36.474335196,0.274876150035,12.7,12526,32.7,17.6,53688,97733
267,211,9,4450,47.440181906999996,0.6979928914910001,35.1,3996,33.8,17.5,29244,28183
268,238,12,612,4.2751253555,0.253883817929,15.7,6892,38.4,23.5,51204,39261
269,78,13,9779,225.48135799,0.388334191113,7.5,19559,41.3,23.9,61906,115340
270,1269,33,20143,590.2498347999998,0.453745810116,12.6,30527,40.1,24.7,60349,196311
271,5893,381,120987,3916.3431575,0.664381451594,19.1,123013,34.7,30.5,49771,945726
272,27,6,6104,198.11124463,0.18374223439,13.8,10312,43.4,16.4,49611,54495
273,531,215,55615,678.14667411,0.391670446813,13.0,60258,39.6,31.2,57196,367804
274,5,0,329,9.7282275943,0.240819482026,9.6,1031,40.0,23.4,59913,5586
275,950,78,32550,536.57837086,0.343857376218,10.4,30572,33.3,32.0,64170,332285
276,2761,294,169399,1283.9265476,0.662632888731,12.0,110350,33.9,48.6,76255,1273954
277,198,194,19439,252.58577796,0.266086266399,15.0,35671,36.6,25.8,56848,232751
278,2160,203,17441,828.26593589,0.691392106739,20.5,97464,32.0,22.8,43948,839238
279,282,90,27858,345.18530708,0.400089362653,13.0,35199,30.8,24.5,54292,362924
280,740,26,27615,902.97670615,0.366977434392,12.1,44264,37.5,30.0,71959,342139
281,213,3,14634,209.30733641,0.294068311305,4.9,15650,36.6,28.4,87377,138377
282,2367,26,28398,81.429805285,0.342843261828,10.5,34304,34.3,26.7,75629,324492
283,197,8,3194,50.976513811000004,0.591619450844,6.7,3601,39.1,51.0,80078,31011
284,59,4,1504,10.854269955,0.54363926808,7.0,3459,39.8,50.4,81033,25638
285,233,32,5136,70.58553725,0.464882219856,17.2,29234,38.9,22.0,48308,168424
286,644,66,32547,283.03811034,0.609275544538,13.4,43188,35.8,20.5,50473,375751
287,1743,388,225944,1545.0772998,0.603845731037,15.6,150264,34.9,33.8,58037,1393452
288,16,0,1195,24.55243145,0.467281272596,7.2,1769,47.8,46.5,74019,9700
289,464,84,16341,158.49907988,0.388529886914,16.8,25685,32.7,30.3,52557,209355
290,1096,88,44090,288.39277018,0.620363321068,20.1,32183,36.2,32.1,49640,226486
291,72,10,8367,176.64798277,0.237055837563,11.4,13723,39.5,25.5,64863,98915
292,1498,471,101376,592.55351575,0.522493114704,16.1,99146,37.7,32.4,55013,658573
293,242,5,7578,131.3112898,0.228586912343,11.2,11770,38.6,24.5,60367,81209
294,259,0,2121,36.106448403,0.520997816227,26.5,4701,38.2,14.2,38664,28065
295,69,8,5542,45.229486087,0.5719326200770001,8.6,7194,35.5,19.7,80063,62808
296,958,10,13926,356.61443653,0.635527041943,6.6,18623,38.3,28.9,92616,163257
297,3215,53,114919,1396.3829343,0.477790721128,7.0,79994,38.4,40.9,97051,579234
298,968,72,45511,352.89761995,0.601083801949,8.2,50364,42.1,46.7,71586,295003
299,623,26,18346,89.818254816,0.242954457431,17.3,15227,35.8,15.8,51665,110461
300,1609,149,18332,308.11584066,0.222817130132,11.8,40019,40.1,33.5,67054,260419
301,622,8,14808,191.17851703,0.326765941199,12.8,6591,37.6,24.2,67585,53100
302,14,0,2643,62.793990963,0.352646392531,10.6,6020,48.1,31.0,54491,26143
303,6445,122,105460,1823.920056,0.420843750672,11.0,141001,40.8,24.5,62191,873972
304,11,0,2248,62.675826361999995,0.45903638951,7.0,6261,53.7,42.8,67349,21761
305,269,32,9223,233.18956032,0.408845310965,15.6,20057,43.3,18.9,50576,103126
306,794,105,34302,457.77677936,0.386917330906,9.7,60097,36.7,37.8,66827,481587
307,627,40,24198,736.11147402,0.509011903669,7.5,24308,36.9,28.3,72970,234561
308,136,8,7179,162.61519552,0.16848806366,16.8,8030,37.8,14.4,49101,57963
309,26,16,5386,46.801852652,0.239880226239,9.6,9560,38.4,29.0,65953,66911
310,18,0,780,20.160928433,0.287747357007,9.7,2708,44.1,18.8,60044,14049
311,374,15,6336,125.921388,0.283328421259,13.0,13591,44.5,16.2,48989,67006
312,734,74,53809,821.24422469,0.336654356319,12.4,52872,36.5,29.8,61053,383134
313,74,19,7222,168.18324189,0.343721656382,10.5,37182,52.8,28.6,60163,142820
