,icu_beds,commuting_in,commuting_out,commuting_within,density,percent_democrat,percent_in_poverty,pop_under18,pop_over65,median_age,percent_with_bachelors,median_income,pop_2019,cases_60days,cases_70days,cases_80days
546,11,607,1066,13011,12.08110855,0.206245154014,8.7,6540,5894,42.1,30.0,58307,30485,16.0,16.0,16.0
549,46,21236,7097,80046,305.21506861,0.704904029095,10.4,29468,22828,36.5,50.7,74240,163774,432.0,439.0,449.0
552,20,6978,15821,16927,178.50602283,0.354314642147,13.3,19609,18004,42.0,26.9,58035,98012,110.0,108.0,130.0
555,0,385,980,1784,12.245598379,0.236718224613,15.7,1335,1453,42.8,18.4,50278,6901,4.0,4.0,8.0
558,66,30297,9274,45442,453.37909142,0.28098634111,15.1,31982,18205,35.4,20.8,50610,123945,118.0,173.0,249.0
561,88,29055,47052,155348,368.08392539,0.4735399414630001,15.6,146907,67770,34.0,16.9,59616,550660,501.0,598.0,718.0
564,4,8014,1361,8594,18.303260404,0.696928853374,6.8,2874,3083,42.0,63.1,89034,17767,54.0,57.0,58.0
567,119,64703,48971,214222,1310.6490387,0.6230399131059999,11.6,121184,81440,38.1,35.9,69562,558753,2331.0,2933.0,3723.0
570,593,160166,90005,1094476,1430.0879913,0.636584344059,16.0,554517,423353,39.7,28.8,52043,2716940,14006.0,16033.0,17825.0
573,34,6925,4595,23023,76.80457988,0.612116964529,22.2,15772,11468,38.8,17.8,38596,66824,234.0,499.0,517.0
576,74,26119,23338,97400,593.64377524,0.477350802178,13.5,64196,40544,36.5,29.2,54674,271826,817.0,1062.0,1275.0
579,107,34494,19047,88858,273.24871047,0.505480579173,22.4,59803,39667,37.4,23.5,40467,240204,1751.0,1939.0,2525.0
582,123,147893,201087,203341,1382.729562,0.565454887364,9.9,178754,136329,39.3,38.6,75836,827370,3878.0,5041.0,5970.0
585,6,19099,40052,30232,493.58716198,0.261486659922,7.7,38017,21500,37.4,31.8,69880,158167,822.0,1053.0,1125.0
588,47,20308,42441,52288,440.7050343,0.315539034547,6.6,51545,45239,43.4,43.7,81925,264672,222.0,233.0,256.0
591,13,11957,7102,27973,281.64884456,0.305136855852,12.3,18690,15344,41.7,21.2,55365,82544,246.0,334.0,408.0
594,21,11993,18824,25153,234.76983541,0.208949901943,12.2,25577,13851,37.9,19.5,57409,107738,363.0,419.0,478.0
597,0,2099,10239,2766,84.27504237699999,0.22444349922,12.4,7810,3498,37.2,25.6,66090,29992,340.0,345.0,361.0
600,48,11896,4215,43083,236.15375655,0.396979327955,25.9,27452,13198,30.2,25.6,41820,117406,185.0,226.0,301.0
603,108,121367,105860,238062,1569.1260633,0.572891332339,8.0,174179,93069,38.2,45.0,87336,696535,5245.0,6905.0,8238.0
606,14,10846,8455,80641,259.73695195,0.309876454013,15.1,47355,16797,26.2,21.4,50531,197938,54.0,81.0,110.0
609,173,196508,64533,427208,2120.6952358,0.632820450638,11.7,254065,112217,35.0,44.8,64509,1110356,2134.0,2894.0,4250.0
612,259,56582,32577,127617,937.43532337,0.536134346614,16.4,86795,56532,38.3,33.8,50112,382295,379.0,801.0,1347.0
